iter	Passed	Remaining
399	41029	61544
400	41130	61438
401	41231	61334
402	41340	61240
403	41443	61138
404	41540	61028
405	41638	60919
406	41748	60827
407	41841	60710
408	41942	60605
409	42044	60503
410	42148	60402
411	42271	60329
412	42386	60244
413	42486	60137
414	42594	60042
415	42698	59942
416	42793	59829
417	42892	59721
418	42993	59616
419	43101	59521
420	43216	59436
421	43312	59324
422	43423	59232
423	43522	59125
424	43622	59018
425	43735	58929
426	43837	58826
427	43938	58721
428	44037	58613
429	44135	58505
430	44236	58400
431	44333	58290
432	44447	58202
433	44548	58097
434	44650	57994
435	44752	57890
436	44854	57786
437	44958	57686
438	45058	57580
439	45157	57473
440	45261	57372
441	45363	57268
442	45464	57163
443	45562	57055
444	45665	56953
445	45776	56861
446	45878	56758
447	45978	56651
448	46083	56551
449	46190	56454
450	46312	56375
451	46412	56269
452	46514	56166
453	46618	56065
454	46719	55960
455	46815	55850
456	46911	55739
457	47018	55641
458	47115	55532
459	47216	55428
460	47322	55328
461	47420	55220
462	47525	55121
463	47649	55043
464	47754	54943
465	47861	54846
466	47976	54757
467	48078	54653
468	48192	54562
469	48289	54453
470	48389	54348
471	48492	54245
472	48593	54141
473	48692	54034
474	48789	53925
475	48892	53822
476	49002	53727
477	49109	53630
478	49226	53542
479	49326	53436
480	49445	53352
481	49546	53247
482	49652	53147
483	49757	53046
484	49870	52955
485	49971	52850
486	50070	52743
487	50171	52639
488	50280	52542
489	50379	52435
490	50482	52333
491	50582	52227
492	50686	52125
